,name,location_name,longitude,latitude,vertical,is_nordic,is_alpine_xc,is_xc_only,is_allied,num_trails,num_lifts,is_open_nights,has_terrain_parks,web_page,is_alpine_xc_display,is_open_nights_display,has_terrain_parks_display,is_allied_display
119,Ober Mountain,"Gatlinburg, TN, USA",-83.5608417,35.7031411,"{'elevation': 660, 'summit': 3208, 'base': 2682}",False,False,False,False,10,3,True,True,https://www.indyskipass.com/our-resorts/ober-mountain,No,Yes,Yes,No
120,Okunakayama Kogen,"Morioka, Tohoku, Japan",141.1715197,40.0874,"{'elevation': 1273, 'summit': 3339, 'base': 2132}",False,False,False,False,11,5,True,True,https://www.indyskipass.com/our-resorts/okunakayama-kogen,No,Yes,Yes,No
352,Palcall Tsumagoi Resort,"Gunma, Agatsuma District, Tsumagoi, Japan",138.46402342241,36.55600188804,"{'elevation': 2395, 'summit': 6890, 'base': 4495}",False,False,False,False,22,5,False,True,https://www.indyskipass.com/our-resorts/palcall-tsumagoi-resort,No,No,Yes,No
121,Pass Powderkeg,"Crowsnest Pass, AB, CA",-114.4492817,49.60297943,"{'elevation': 985, 'summit': 5380, 'base': 4570}",False,False,False,False,27,3,True,True,https://www.indyskipass.com/our-resorts/pass-powderkeg,No,Yes,Yes,No
122,Pats Peak,"Henniker, NH, USA",-71.8002399,43.1639733,"{'elevation': 770, 'summit': 1460, 'base': 690}",False,False,False,False,28,11,True,True,https://www.indyskipass.com/our-resorts/pats-peak,No,Yes,Yes,No
325,Paul Bunyan Ski Hill,"Lakewood, WI",-88.524082142113,45.325719991721,"{'elevation': None, 'summit': None, 'base': None}",False,False,False,True,10,6,False,False,https://www.indyskipass.com/our-resorts/paul-bunyan-ski-hill,No,No,No,Yes
123,Peek ‘n Peak,"Clymer, NY, USA",-79.7381204,42.0623302,"{'elevation': 400, 'summit': 1800, 'base': 1400}",False,False,False,False,27,9,True,True,https://www.indyskipass.com/our-resorts/peek-n-peak,No,Yes,Yes,No
124,Phoenix Mountain,"Grand Forks, BC, CA",-118.5866193,49.103709,"{'elevation': 705, 'summit': 4652, 'base': 4147}",False,False,False,False,22,2,True,True,https://www.indyskipass.com/our-resorts/phoenix-mountain,No,Yes,Yes,No
125,Pine Mountain,"Iron Mountain, MI, USA",-88.0913177,45.8391227,"{'elevation': 364, 'summit': 1512, 'base': 1148}",False,False,False,False,35,4,True,True,https://www.indyskipass.com/our-resorts/pine-mountain,No,Yes,Yes,No
126,Pippu Ski Resort,"Asahikawa, Hokkaido, Japan",142.4972506,43.9331104,"{'elevation': 1053, 'summit': 1902, 'base': 820}",False,False,False,False,9,3,True,True,https://www.indyskipass.com/our-resorts/pippu-ski-resort,No,Yes,Yes,No
127,Pomerelle Mountain Resort,"Burley, ID, USA",-113.6103326,42.3179871,"{'elevation': 998, 'summit': 9764, 'base': 8762}",False,False,False,False,22,3,True,True,https://www.indyskipass.com/our-resorts/pomerelle-mountain-resort,No,Yes,Yes,No
129,Powder Ridge,"Kimball, MN, USA",-94.3075934,45.3438676,"{'elevation': 300, 'summit': 790, 'base': 500}",False,False,False,False,13,6,True,True,https://www.indyskipass.com/our-resorts/powder-ridge,No,Yes,Yes,No
333,Powderhorn,"Mesa, CO",-108.15083984603,39.070007153611,"{'elevation': 1697, 'summit': 9850, 'base': 8200}",False,False,False,False,40,5,False,True,https://www.indyskipass.com/our-resorts/powderhorn,No,No,Yes,No
297,Quarry Road Trails,"Waterville, ME, USA",-69.6605718,44.5826282,{},True,False,True,False,22,,True,False,https://www.indyskipass.com/our-resorts/quarry-road-trails,No,Yes,No,No
344,Ragged Mountain,"Danbury, NH",-71.84227591883,43.485425809051,"{'elevation': 1250, 'summit': 2286, 'base': 1000}",False,False,False,False,57,5,False,True,https://www.indyskipass.com/our-resorts/ragged-mountain,No,No,Yes,No
298,Rangeley Lakes Trail Center,"Rangeley, ME, USA",-70.5684757,44.9564326,{},True,False,True,False,35,,False,False,https://www.indyskipass.com/our-resorts/rangeley-lakes-trail-center,No,No,No,No
130,Red Lodge,"Billings, MT, USA",-109.3352328,45.19147328,"{'elevation': 2400, 'summit': 9416, 'base': 7433}",False,False,False,False,70,8,False,True,https://www.indyskipass.com/our-resorts/red-lodge,No,No,Yes,No
299,Rikert Nordic Center,"Ripton, VT, USA",-72.9936673,43.954787,{},True,False,True,False,35,,False,False,https://www.indyskipass.com/our-resorts/rikert-nordic-center,No,No,No,No
131,Saddleback Mountain,"Rangeley, ME, USA",-70.5296617,44.9462173,"{'elevation': 2000, 'summit': 4120, 'base': 2460}",False,False,False,False,68,6,False,True,https://www.indyskipass.com/our-resorts/saddleback-mountain,No,No,Yes,No
132,Saskadena Six Ski Area,"Woodstock, VT, USA",-72.5458462,43.6650614,"{'elevation': 650, 'summit': 1200, 'base': 550}",False,False,False,False,28,3,False,True,https://www.indyskipass.com/our-resorts/saskadena-six-ski-area,No,No,Yes,No
133,Sasquatch Mountain Resort,"Agassiz, BC, CA",-121.9380493,49.379918,"{'elevation': 1200, 'summit': 4500, 'base': 3300}",False,False,False,False,36,4,True,True,https://www.indyskipass.com/our-resorts/sasquatch-mountain-resort,No,Yes,Yes,No
134,Schuss Mountain at Shanty Creek,"Bellaire, MI, USA",-85.1357063,44.940947,"{'elevation': 450, 'summit': 1125, 'base': 625}",False,False,False,False,42,7,True,True,https://www.indyskipass.com/our-resorts/schuss-mountain-at-shanty-creek,No,Yes,Yes,No
135,Shames Mountain,"Terrace, BC, CA",-128.9553952,54.484131,"{'elevation': 1600, 'summit': 3900, 'base': 2300}",False,False,False,False,30,3,False,True,https://www.indyskipass.com/our-resorts/shames-mountain,No,No,Yes,No
136,Shawnee Mountain Ski Area,"East Stroudsburg , PA, USA",-75.08480066,41.03977382,"{'elevation': 700, 'summit': 1350, 'base': 650}",False,False,False,False,23,11,True,True,https://www.indyskipass.com/our-resorts/shawnee-mountain-ski-area,No,Yes,Yes,No
188,Shimokura,"Hachimantai, Iwate, Japan",140.9543099,39.8990404,"{'elevation': 1804, 'summit': 3707, 'base': 1902}",False,False,False,False,7,3,True,False,https://www.indyskipass.com/our-resorts/shimokura,No,Yes,No,No
138,Silver Mountain,"Kellogg, ID, USA",-116.1343218,47.4950187,"{'elevation': 2200, 'summit': 6300, 'base': 5800}",False,False,False,False,83,7,False,True,https://www.indyskipass.com/our-resorts/silver-mountain,No,No,Yes,No
269,Skaneateles Ski Club,"Syracuse, NY, USA",-76.33377842,42.91535333,"{'elevation': 330, 'summit': 1200, 'base': 800}",False,False,False,False,7,3,True,False,https://www.indyskipass.com/our-resorts/skaneateles-ski-club,No,Yes,No,No
139,Ski Big Bear,"Lackawaxen, PA, USA",-75.0278006,41.5233005,"{'elevation': 650, 'summit': 1200, 'base': 550}",False,False,False,False,18,7,True,True,https://www.indyskipass.com/our-resorts/ski-big-bear,No,Yes,Yes,No
140,Ski Bluewood,"Dayton, WA, USA",-117.853694,46.0824682,"{'elevation': 1120, 'summit': 5665, 'base': 4545}",False,False,False,False,25,4,False,True,https://www.indyskipass.com/our-resorts/ski-bluewood,No,No,Yes,No
141,Ski Sawmill,"Morris, PA, USA",-77.2925621,41.5209883,"{'elevation': 515, 'summit': 2215, 'base': 1700}",False,False,False,False,13,5,True,True,https://www.indyskipass.com/our-resorts/ski-sawmill,No,Yes,Yes,No
177,SkiWelt,"Kufstein, Austria",12.2008647,47.4787937,"{'elevation': 4098, 'summit': 6132, 'base': 2034}",False,False,False,False,279,82,True,True,https://www.indyskipass.com/our-resorts/skiwelt,No,Yes,Yes,No
142,Snow King Mountain Resort,"Jackson, WY, USA",-110.7586156,43.4728087,"{'elevation': 1560, 'summit': 7804, 'base': 6244}",False,False,False,False,46,8,True,True,https://www.indyskipass.com/our-resorts/snow-king-mountain-resort,No,Yes,Yes,No
143,Snow Ridge,"Turin, NY, USA",-75.4249888,43.6397477,"{'elevation': 500, 'summit': 1850, 'base': 1350}",False,False,False,False,33,5,True,True,https://www.indyskipass.com/our-resorts/snow-ridge,No,Yes,Yes,No
144,Snowriver,"Wakefield, MI, USA",-89.966801281413,46.500921527786,"{'elevation': 538, 'summit': 1752, 'base': 1214}",False,False,False,False,71,11,False,True,https://www.indyskipass.com/our-resorts/snowriver,No,No,Yes,No
