resort_id,source,source_id
9e5a1435-2407-4645-a9c8-9e09b02930ec,indy,mont-ripley-ski-area
cc588a17-e0f2-4ddb-a120-8b323d9daebb,indy,mont-sutton
79a56f1d-30ea-4d1d-9f62-a705b60c7173,indy,montage-mountain
adb735d8-1e23-46b9-ab7e-292e28daff0e,indy,montana-snowbowl
0fc5860e-9e15-49c1-a2fa-73778a9e672a,indy,moose-mountain
eaf93180-4e5d-4734-a133-21e2d15f766d,indy,mount-baldy-ski-area
b3bd2b43-95fd-4623-9752-c150b97efcee,indy,mount-kato
162666ff-54d8-4fd6-b6f9-73bb6de18963,indy,mount-racey-ski-resort
f27345d8-6211-49d1-975b-e6e2c0207b73,indy,mount-washington-alpine-resort-nordic-centre-at-raven-lodge
8c35e50a-194b-4c1c-8644-f8e474fa2db6,indy,mountain-high
5d565255-28c4-4a5a-a027-3b3842a6f813,indy,mt-eyak
4176a319-f672-43a7-9d0b-d8b3a0bd6ad5,indy,mt-la-crosse
1e85e0bb-f2dd-408c-9111-ff205df544e3,indy,mt-abram
d0c93335-ad72-450e-8a54-382d3bbe5163,indy,mt-holiday
44b6c5bf-142b-4da3-b655-a37a3bc9c20b,indy,mt-hood-meadows
de9839be-b886-4580-b823-017d2f5b1a38,indy,mt-shasta
91a1fb3f-bbaf-4a6b-88e3-860dc8903871,indy,mt-washington
b1c85914-4e35-4e4b-8d37-ddfcd04730cd,indy,muica-snow-resort
77fd1990-3ef6-49d6-a11d-24538f7edef8,indy,murray-ridge-ski-area
67dcc10c-139a-41a9-ae10-9e119c4f08f6,indy,nayoro-piyashiri-ski-resort
9e9872ad-b236-42ee-976a-e7e97b092521,indy,nelson-nordic-ski-club
7f69ea93-fd74-44a7-89e5-eac5dc56adf8,indy,nickel-plate-cross-country-ski-club
9c4071b1-cf9d-4beb-b1ad-7d3ba3ac3ab7,indy,ninox-snow-park
f063e8cb-6403-42b9-b05c-f8a49ca50dc8,indy,nordic-mountain
c090c808-3ae7-45d9-a88e-b68826e25cd6,indy,norefjell-ski-resort
0c0f58b9-9e45-436b-b9b3-5bddeaf1dbb6,indy,northern-maine-community-trails
df015777-7652-454e-beda-e3d4e976bd0d,indy,norway-mountain
905d1d05-c4a1-405b-879b-e8554bd78d33,indy,nubs-nob-0
5c8f1a4e-00d8-431b-8547-cfca87973026,indy,ober-mountain
8ab0939e-5eae-4907-afd0-a2ea36cc874b,indy,oberstdorf-kleinwalsertal-bergbahnen
d1d0ad67-7a4f-4365-a3cb-62df6184c027,indy,okunakayama-kogen
ab14ebd5-c921-4d29-995c-56d400a0a353,indy,palcall-tsumagoi-resort
8b058a23-9af6-49cf-8685-c969913b7764,indy,pass-powderkeg
483a2d0e-6c44-46d2-a605-785453717fd5,indy,pats-peak
41481dad-69b8-492f-adb9-269b88080932,indy,paul-bunyan-ski-hill
a945f56e-f68d-4c3d-9068-912fd4097d38,indy,pebble-creek-ski-area
681065a4-7686-453b-a198-6ca18c578b26,indy,peek-n-peak
f0df7147-b8fb-4006-a584-064c6cf23ee8,indy,phoenix-mountain
6c85072d-c9d2-410d-be08-5edf868b6b06,indy,pila
2fd0a025-03e6-413c-884f-3bb2f9a146d4,indy,pine-mountain
cb39b67a-bfee-4b09-9304-f2b84639cc72,indy,pippu-ski-resort
a089b8f3-fb87-4d27-8955-82694db62352,indy,pitztaler-gletscherbahn
2a787b8e-75c4-4402-8812-189dbae38d14,indy,plain-valley-ski-trails
3e9b637a-738c-4575-90ea-744166523fef,indy,pomerelle-mountain-resort
89430fe3-c2be-4216-b68f-609d904db421,indy,portes-du-soleil
49d1a0ab-8901-4d9f-8302-e1a701b9a013,indy,powder-ridge
ef312fa5-0ac0-449f-9c10-a819bb526392,indy,powderhorn
62e97cca-36c5-4928-a6f7-79026ca89f61,indy,quarry-road-trails
1c1908ff-ff6a-43cc-a83d-f8743773d2e5,indy,ragged-mountain
76b9ab6e-2055-4be4-b88c-8b7d4f4287d2,indy,rangeley-lakes-trail-center
3790ff9b-0c68-48cf-9f65-65fc2674c1b0,indy,rauriser-hochalmbahnen
3ac05634-e525-43e3-aa1e-8005cb6f6acf,indy,red-lodge-mountain
